Date,Price,Open,High,Low,Vol.,Change %
18-Oct,71.48,73.47,76.89,70.5,-,-2.42%
18-Sep,73.25,69.89,73.73,66.86,10.09M,4.94%
18-Aug,69.8,68.43,70.5,64.43,10.42M,1.51%
18-Jul,68.76,73.62,75.27,67.03,10.91M,-7.27%
18-Jun,74.15,67.07,74.46,63.59,12.86M,10.61%
18-May,67.04,68.56,72.83,65.8,15.04M,-2.23%
18-Apr,68.57,64.91,69.56,61.81,12.71M,5.59%
18-Mar,64.94,61.55,66.55,59.95,12.38M,5.35%
18-Feb,61.64,64.76,66.3,58.07,11.99M,-4.77%
18-Jan,64.73,60.2,66.66,60.1,12.77M,7.13%
17-Dec,60.42,57.42,60.51,55.82,9.49M,5.26%
17-Nov,57.4,54.65,59.05,53.89,12.53M,5.55%
17-Oct,54.38,51.64,54.85,49.1,11.95M,5.24%
17-Sep,51.67,47.08,52.86,46.56,12.24M,9.40%
17-Aug,47.23,50.21,50.43,45.58,17.17M,-5.86%
17-Jul,50.17,46.28,50.41,43.65,14.57M,8.97%
17-Jun,46.04,48.63,49.17,42.05,15.23M,-4.72%
17-May,48.32,49.17,52,43.76,14.25M,-2.05%
17-Apr,49.33,50.69,53.76,48.2,9.72M,-2.51%
17-Mar,50.6,53.95,54.44,47.01,12.60M,-6.31%
17-Feb,54.01,52.76,54.94,51.22,9.09M,2.27%
17-Jan,52.81,54.2,55.24,50.71,10.11M,-1.69%
16-Dec,53.72,49.07,54.51,48.98,10.64M,8.66%
16-Nov,49.44,46.77,49.9,42.2,13.50M,5.51%
16-Oct,46.86,48.04,51.93,46.63,10.82M,-2.86%
16-Sep,48.24,44.85,48.32,42.55,12.37M,7.92%
16-Aug,44.7,41.35,48.75,39.19,11.59M,7.45%
16-Jul,41.6,48.38,49.35,40.57,9.34M,-13.93%
16-Jun,48.33,48.82,51.67,45.83,10.42M,-1.57%
16-May,49.1,45.9,50.21,43.03,11.20M,6.93%
16-Apr,45.92,38.14,46.78,35.24,11.62M,19.77%
16-Mar,38.34,33.9,41.9,33.37,10.88M,13.60%
16-Feb,33.75,33.83,34.69,26.05,11.47M,0.39%
16-Jan,33.62,37.6,38.39,26.19,10.39M,-9.23%
15-Dec,37.04,41.73,42.23,33.98,8.70M,-11.07%
15-Nov,41.65,46.43,48.36,38.99,7.88M,-10.60%
15-Oct,46.59,45.38,50.92,42.58,8.31M,3.33%
15-Sep,45.09,48.1,48.87,43.21,7.97M,-8.35%
15-Aug,49.2,46.86,49.33,37.75,8.24M,4.41%
15-Jul,47.12,58.98,58.98,46.68,7.17M,-20.77%
15-Jun,59.47,60.29,61.82,56.83,6.54M,-1.38%
15-May,60.3,59.79,62.58,56.51,6.34M,1.12%
